Cluster,Records,BuildingHeight,BuildingWidth,Altitude,AveNoise,temp,prec,win
0,125,22.972,48.82133333336,789.8826666664,54.722666666639995,16.797759999999997,58.54912,2.5667199999999997
1,76,44.477631578947374,41.87978468894737,53.92081339710526,52.59090909092105,20.03065789473684,68.16802631578948,2.4320394736842106
2,156,21.23076923076923,59.282051282051285,1269.5015512820512,49.2724358974359,15.749786324807692,28.981709401730768,2.6464102564102565
3,93,24.508602150537637,48.616129032258065,1480.9535483870966,49.995268817204305,15.50447311827957,53.55430107526882,1.9223655913978495
4,51,79.24509803921569,52.13725490196079,881.1372549019608,52.705882352941174,16.723529411764705,56.189803921568625,2.4441176470588237
