Model,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,roc_auc_mean,roc_auc_std
Decision Tree,0.6547362353120187,0.04054484850218167,0.6006939350107688,0.054576325959867764,0.7018748962999835,0.20644530611397197,0.6301344838800044,0.10242650951870265,0.6979150124044973,0.06041473214662523
Random Forest,0.6841078040204794,0.04922266614029314,0.6872733621032433,0.11295594955352653,0.628256180520989,0.23814126344643816,0.6196783986524865,0.11432740516444265,0.7335301924307648,0.04012659439131112
Logistic Regression,0.6678284219013232,0.05610730852609508,0.6458052688814063,0.06302619407118451,0.6024320046968131,0.22767004723088685,0.5964294258817585,0.1371984213437887,0.7503290982702382,0.05466765080124787
Naive Bayes,0.6704386507411213,0.05075469240321782,0.7012297053158015,0.11096210912253304,0.568840219014435,0.292460780579067,0.5641762336086984,0.17726647949975588,0.7319038791251335,0.04131777852674612
Majority baseline,0.5479512263317476,0.05487222015384061,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0
