Model,MAE_mean,MAE_std,RMSE_mean,RMSE_std,R2_mean,R2_std
Decision Tree,2.8244263318451455,0.9903567125906209,4.354364673783668,1.9988319522891702,0.2265250040179659,0.14487999719997566
Random Forest,2.826935170843945,0.9914034723086816,4.290678177023777,1.9421414448223104,0.21894146556446198,0.27914463469522177
Linear Regression,3.2092712282478444,1.2021860066239232,4.525047877392132,2.0214314380089533,0.14504045121406692,0.22690395420939938
Baseline Median,3.3877206821693924,1.4047292493818808,5.3362708348333685,2.759135718985802,-0.09360910873157775,0.08267554976933239
Baseline Mean,3.707817086259584,1.17313935767727,5.276992168884873,2.480552727047448,-0.1156245644315776,0.1156401944777492
