Cluster,Records,MeanNestCount,MedianNestCount,HigherCountFraction
0,125,5.312,5.0,0.576
1,76,13.578947368421053,12.0,0.8947368421052632
2,156,3.782051282051282,3.0,0.27564102564102566
3,93,2.860215053763441,2.0,0.17204301075268819
4,51,5.647058823529412,5.0,0.5098039215686274
